Genetic_region	Comparison	Chromosomal_region	Chromosome	Genetic_region_chromosomal_region	Geographic_genetic_comparison	DXY
intergenic	Allopatry	4_inversion	Autosomes	intergenic_autosomes	Allopatry_intergenic	0.03511
intronic	Allopatry	4_inversion	Autosomes	intronic_autosomes	Allopatry_intronic	0.03676
coding	Allopatry	4_inversion	Autosomes	coding_autosomes	Allopatry_coding	0.02206
intergenic	Sympatry	4_inversion	Autosomes	intergenic_autosomes	Sympatry_intergenic	0.03495
intronic	Sympatry	4_inversion	Autosomes	intronic_autosomes	Sympatry_intronic	0.03663
coding	Sympatry	4_inversion	Autosomes	coding_autosomes	Sympatry_coding	0.02203
intergenic	Allopatry	5_inversion	Autosomes	intergenic_autosomes	Allopatry_intergenic	0.03113
intronic	Allopatry	5_inversion	Autosomes	intronic_autosomes	Allopatry_intronic	0.03333
coding	Allopatry	5_inversion	Autosomes	coding_autosomes	Allopatry_coding	0.01997
intergenic	Sympatry	5_inversion	Autosomes	intergenic_autosomes	Sympatry_intergenic	0.03092
intronic	Sympatry	5_inversion	Autosomes	intronic_autosomes	Sympatry_intronic	0.03312
coding	Sympatry	5_inversion	Autosomes	coding_autosomes	Sympatry_coding	0.01989
intergenic	Allopatry	colinear_autosomes	Autosomes	intergenic_autosomes	Allopatry_intergenic	0.0303
intronic	Allopatry	colinear_autosomes	Autosomes	intronic_autosomes	Allopatry_intronic	0.03127
coding	Allopatry	colinear_autosomes	Autosomes	coding_autosomes	Allopatry_coding	0.02025
intergenic	Sympatry	colinear_autosomes	Autosomes	intergenic_autosomes	Sympatry_intergenic	0.03004
intronic	Sympatry	colinear_autosomes	Autosomes	intronic_autosomes	Sympatry_intronic	0.03102
coding	Sympatry	colinear_autosomes	Autosomes	coding_autosomes	Sympatry_coding	0.02014
intergenic	Allopatry	colinear_X	X	intergenic_X	Allopatry_intergenic	0.03211
intronic	Allopatry	colinear_X	X	intronic_X	Allopatry_intronic	0.0351
coding	Allopatry	colinear_X	X	coding_X	Allopatry_coding	0.01694
intergenic	Sympatry	colinear_X	X	intergenic_X	Sympatry_intergenic	0.0319
intronic	Sympatry	colinear_X	X	intronic_X	Sympatry_intronic	0.03498
coding	Sympatry	colinear_X	X	coding_X	Sympatry_coding	0.01678
intergenic	Allopatry	X_inversion	X	intergenic_X	Allopatry_intergenic	0.03505
intronic	Allopatry	X_inversion	X	intronic_X	Allopatry_intronic	0.03824
coding	Allopatry	X_inversion	X	coding_X	Allopatry_coding	0.01945
intergenic	Sympatry	X_inversion	X	intergenic_X	Sympatry_intergenic	0.03484
intronic	Sympatry	X_inversion	X	intronic_X	Sympatry_intronic	0.03799
coding	Sympatry	X_inversion	X	coding_X	Sympatry_coding	0.01925
