Genetic_region	Comparison	Chromosomal_region	Genetic_region_chromosomal_region	Population	Population_species	Pi
Intergenic	Allopatry	4_inversion	Intergenic_autosomes	mon	mon_Allopatry	0.01218
Intronic	Allopatry	4_inversion	Intronic_autosomes	mon	mon_Allopatry	0.01268
Coding	Allopatry	4_inversion	Coding_autosomes	mon	mon_Allopatry	0.00594
Intergenic	Allopatry	5_inversion	Intergenic_autosomes	mon	mon_Allopatry	0.01026
Intronic	Allopatry	5_inversion	Intronic_autosomes	mon	mon_Allopatry	0.01125
Coding	Allopatry	5_inversion	Coding_autosomes	mon	mon_Allopatry	0.00596
Intergenic	Allopatry	colinear_autosomes	Intergenic_autosomes	mon	mon_Allopatry	0.01093
Intronic	Allopatry	colinear_autosomes	Intronic_autosomes	mon	mon_Allopatry	0.01117
Coding	Allopatry	colinear_autosomes	Coding_autosomes	mon	mon_Allopatry	0.00591
Intergenic	Allopatry	colinear_X	Intergenic_X	mon	mon_Allopatry	0.00764
Intronic	Allopatry	colinear_X	Intronic_X	mon	mon_Allopatry	0.00837
Coding	Allopatry	colinear_X	Coding_X	mon	mon_Allopatry	0.00332
Intergenic	Allopatry	X_inversion	Intergenic_X	mon	mon_Allopatry	0.00723
Intronic	Allopatry	X_inversion	Intronic_X	mon	mon_Allopatry	0.0081
Coding	Allopatry	X_inversion	Coding_X	mon	mon_Allopatry	0.00335
Intergenic	Sympatry	4_inversion	Intergenic_autosomes	mon	mon_Sympatry	0.01308
Intergenic	Sympatry	4_inversion	Intergenic_autosomes	fla	fla_Sympatry	0.00656
Intronic	Sympatry	4_inversion	Intronic_autosomes	mon	mon_Sympatry	0.01381
Intronic	Sympatry	4_inversion	Intronic_autosomes	fla	fla_Sympatry	0.00678
Coding	Sympatry	4_inversion	Coding_autosomes	mon	mon_Sympatry	0.00652
Coding	Sympatry	4_inversion	Coding_autosomes	fla	fla_Sympatry	0.00323
Intergenic	Sympatry	5_inversion	Intergenic_autosomes	mon	mon_Sympatry	0.01047
Intergenic	Sympatry	5_inversion	Intergenic_autosomes	fla	fla_Sympatry	0.00536
Intronic	Sympatry	5_inversion	Intronic_autosomes	mon	mon_Sympatry	0.01153
Intronic	Sympatry	5_inversion	Intronic_autosomes	fla	fla_Sympatry	0.00552
Coding	Sympatry	5_inversion	Coding_autosomes	mon	mon_Sympatry	0.00611
Coding	Sympatry	5_inversion	Coding_autosomes	fla	fla_Sympatry	0.00284
Intergenic	Sympatry	colinear_autosomes	Intergenic_autosomes	mon	mon_Sympatry	0.01127
Intergenic	Sympatry	colinear_autosomes	Intergenic_autosomes	fla	fla_Sympatry	0.0055
Intronic	Sympatry	colinear_autosomes	Intronic_autosomes	mon	mon_Sympatry	0.0114
Intronic	Sympatry	colinear_autosomes	Intronic_autosomes	fla	fla_Sympatry	0.00546
Coding	Sympatry	colinear_autosomes	Coding_autosomes	mon	mon_Sympatry	0.00607
Coding	Sympatry	colinear_autosomes	Coding_autosomes	fla	fla_Sympatry	0.00286
Intergenic	Sympatry	colinear_X	Intergenic_X	mon	mon_Sympatry	0.00763
Intergenic	Sympatry	colinear_X	Intergenic_X	fla	fla_Sympatry	0.00421
Intronic	Sympatry	colinear_X	Intronic_X	mon	mon_Sympatry	0.00836
Intronic	Sympatry	colinear_X	Intronic_X	fla	fla_Sympatry	0.00406
Coding	Sympatry	colinear_X	Coding_X	mon	mon_Sympatry	0.00318
Coding	Sympatry	colinear_X	Coding_X	fla	fla_Sympatry	0.00162
Intergenic	Sympatry	X_inversion	Intergenic_X	mon	mon_Sympatry	0.0087
Intergenic	Sympatry	X_inversion	Intergenic_X	fla	fla_Sympatry	0.00485
Intronic	Sympatry	X_inversion	Intronic_X	mon	mon_Sympatry	0.00973
Intronic	Sympatry	X_inversion	Intronic_X	fla	fla_Sympatry	0.00528
Coding	Sympatry	X_inversion	Coding_X	mon	mon_Sympatry	0.00384
Coding	Sympatry	X_inversion	Coding_X	fla	fla_Sympatry	0.0026
