Population	longitude	altitude	latitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	Region
Fairbanks	-148.0	180	64.9	-2.842167	11.05367	23.48646	1371.725	21.736	-25.328	47.064	14.00333	-10.17733	14.00333	-19.00933	304	49	8	52.07666	135	33	135	50	Alaska
Honolulu_Creek	-149.5	495	63.1	-1.222333	9.572667	26.42923	1027.626	19.128	-17.092	36.22	10.25733	-1.914667	12.16	-12.49333	636	103	25	49.99065	281	88	251	107	Alaska
Seward	-149.5	35	60.2	0.6763333	6.538	29.29211	605.2397	13.48	-8.84	22.32	0.6486667	2.642667	8.74	-5.596	1104	162	52	41.58942	423	161	210	302	Alaska
Terrace	-128.6	217	54.5	6.406	7.721333	27.56831	730.9623	21.376	-6.632	28.008	1.750667	13.43	15.31733	-2.711333	1379	210	50	51.67296	578	157	170	487	west
Vancouver	-122.6	4	49.2	10.04094	9.146377	36.73244	577.0635	24.20435	-0.6956522	24.9	3.521739	17.02246	17.09348	3.06087	1972	308	64	48.51431	818	221	226	691	west
Ashford	-122.0	573	46.8	6.247667	9.396	39.81356	512.908	20.724	-2.876	23.6	1.024	12.65333	12.99533	0.6933333	2333	361	48	58.26072	1057	199	213	964	west
Fall_Creek	-122.8	225	44.0	10.93117	11.95833	45.10536	524.2805	27.288	0.776	26.512	5.267334	17.472	17.70133	4.996	1497	233	20	60.59804	676	111	112	609	west
Azalea	-123.2	498	42.8	11.04567	13.73733	48.02592	555.7869	28.9	0.296	28.604	5.027333	18.11	18.198	4.802	1145	196	13	70.08694	559	62	71	507	west
McBride	-120.2	720	53.3	4.068	11.306	32.24022	850.0975	22.128	-12.94	35.068	4.040667	0.09533341	14.23267	-6.661333	706	75	39	21.11453	210	127	201	163	Rocky
Cranbrook	-115.7	940	49.5	5.548666	12.23933	32.16138	899.0269	25.952	-12.104	38.056	14.10733	0.9306666	16.49867	-5.848667	461	61	26	27.44094	151	85	133	113	Rocky
Livingston	-110.6	1605	45.4	5.1325	14.06033	38.05438	836.3535	25.9	-11.048	36.948	12.92667	-4.846667	15.65933	-4.846667	500	72	24	34.78258	185	83	154	83	Rocky
Jackson	-110.8	1875	43.4	3.514167	15.731	38.04537	924.3771	26.552	-14.796	41.348	8.067333	-1.793333	14.86867	-8.041333	456	52	28	19.83134	132	94	110	120	Rocky
Afton	-110.9	2000	42.7	3.1425	16.63767	36.87099	1030.696	27.492	-17.632	45.124	8.472667	15.39467	15.39467	-10.24267	466	53	30	16.33408	140	104	104	112	Rocky
Liberty	-111.9	1600	41.3	5.953333	13.732	36.51351	866.6401	27.016	-10.592	37.608	4.647333	16.83467	16.83467	-4.494667	515	55	27	21.34857	162	89	89	129	Rocky
