Population	Latitude	Longitude	Altitude
Fairbanks	64.924	-147.988	180
Honolulu_Creek	63.064	-149.544	495
Seward	60.163	-149.544	35
Terrace	54.450	-128.567	217
Vancouver	49.236127	-122.595675	4
Ashford	46.75583333	-121.9561111	573
Fall_Creek	43.976	-122.752	225
Azalea	42.807	-123.227	498
McBride	53.3025	-120.1568	720
Cranbrook	49.51576	-115.74268	940
Livingston	45.36275	-110.61497	1605
Jackson	43.43	-110.8427778	1875
Afton	42.71748	-110.91979	2000
Liberty	41.32913	-111.8858	1600
Samak	40.617	-111.200	2090
Crested_Butte	38.828	-106.832	2722
