Geography	Chromosome_type	Genomic_region	T_scaled	T_scaled_Mya	SD1_T	SD1_T_Mya	SD2_T	SD2_T_Mya	me_unscaled	SD1_M	SD2_M
Allopatry	Autosomes	autosomes_colinear	2538520.982	2.538520982	12979.4	0.0129794	25958.8	0.0259588	0.008343744	0.00051607	0.00103214
Allopatry	Autosomes	4_inverted	2940782.001	2.940782001	30580.3	0.0305803	61160.6	0.0611606	0.004931097	0.000842458	0.001684917
Allopatry	Autosomes	5_inverted	2776574.881	2.776574881	39938.2	0.0399382	79876.4	0.0798764	0.006029192	0.001158075	0.00231615
Allopatry	X	X_colinear	2604973.287	2.604973287	51108.18	0.05110818	102216.36	0.10221636	0.007412056	0.001174537	0.002349074
Allopatry	X	X_inverted	2828962.55	2.82896255	38672.97	0.03867297	77345.94	0.07734594	0.003817857	0.000761264	0.001522528
Sympatry	Autosomes	autosomes_colinear	2526063.246	2.526063246	9973.5	0.0099735	19947	0.019947	0.009728639	0.000438234	0.000876468
Sympatry	Autosomes	4_inverted	2988047.135	2.988047135	36193	0.036193	72386	0.072386	0.006698794	0.000943884	0.001887767
Sympatry	Autosomes	5_inverted	2822628.699	2.822628699	42509.57	0.04250957	85019.14	0.08501914	0.007647212	0.00133624	0.00267248
Sympatry	X	X_colinear	2768509.768	2.768509768	54338.15	0.05433815	108676.3	0.1086763	0.008831084	0.001547685	0.00309537
Sympatry	X	X_inverted	3321302.198	3.321302198	43873.41	0.04387341	87746.82	0.08774682	0.007839435	0.001107948	0.002215896
