sequence	start
2L_chromosome	6
2L_chromosome	1775
2L_chromosome	4384
2L_chromosome	8124
2L_chromosome	12630
2L_chromosome	13558
2L_chromosome	13908
2L_chromosome	14653
2L_chromosome	14718
2L_chromosome	14842
2L_chromosome	15179
2L_chromosome	15522
2L_chromosome	17053
2L_chromosome	20288
2L_chromosome	20333
2L_chromosome	20383
2L_chromosome	21993
2L_chromosome	24225
2L_chromosome	24238
2L_chromosome	35455
2L_chromosome	35593
2L_chromosome	42812
2L_chromosome	50852
2L_chromosome	51473
2L_chromosome	51559
2L_chromosome	51675
2L_chromosome	54238
2L_chromosome	54458
2L_chromosome	55244
2L_chromosome	57981
2L_chromosome	59290
2L_chromosome	61203
2L_chromosome	61624
2L_chromosome	63944
2L_chromosome	68716
2L_chromosome	69354
2L_chromosome	69367
2L_chromosome	69374
2L_chromosome	70071
2L_chromosome	76806
2L_chromosome	79928
2L_chromosome	83376
2L_chromosome	83922
2L_chromosome	85790
2L_chromosome	88228
2L_chromosome	88903
2L_chromosome	89320
2L_chromosome	91710
2L_chromosome	92081
2L_chromosome	92895
2L_chromosome	97547
2L_chromosome	97597
2L_chromosome	97775
2L_chromosome	98152
2L_chromosome	98322
2L_chromosome	98236
2L_chromosome	98410
2L_chromosome	102314
2L_chromosome	102976
2L_chromosome	104337
2L_chromosome	104427
2L_chromosome	105124
2L_chromosome	105180
2L_chromosome	109275
2L_chromosome	110586
2L_chromosome	110605
2L_chromosome	110671
2L_chromosome	114657
2L_chromosome	118371
2L_chromosome	118427
2L_chromosome	118589
2L_chromosome	121088
2L_chromosome	121099
2L_chromosome	122373
2L_chromosome	122452
2L_chromosome	123432
2L_chromosome	124047
2L_chromosome	124058
2L_chromosome	124067
2L_chromosome	125319
2L_chromosome	125563
2L_chromosome	125821
2L_chromosome	126836
2L_chromosome	126857
2L_chromosome	128279
2L_chromosome	130770
2L_chromosome	131009
2L_chromosome	131016
2L_chromosome	134377
2L_chromosome	134463
2L_chromosome	135045
2L_chromosome	136387
2L_chromosome	138317
2L_chromosome	142896
2L_chromosome	142934
2L_chromosome	142968
2L_chromosome	144170
2L_chromosome	144312
2L_chromosome	145019
2L_chromosome	145313
2L_chromosome	145555
2L_chromosome	146107
2L_chromosome	146366
2L_chromosome	146903
2L_chromosome	147103
2L_chromosome	147977
2L_chromosome	149249
2L_chromosome	149254
2L_chromosome	150369
2L_chromosome	150895
2L_chromosome	151068
2L_chromosome	151510
2L_chromosome	151978
2L_chromosome	151988
2L_chromosome	152433
2L_chromosome	152448
2L_chromosome	153542
2L_chromosome	155943
2L_chromosome	155950
2L_chromosome	156307
2L_chromosome	158619
2L_chromosome	158669
2L_chromosome	158701
2L_chromosome	158998
2L_chromosome	159004
2L_chromosome	159047
2L_chromosome	159552
2L_chromosome	159567
2L_chromosome	159667
2L_chromosome	159924
2L_chromosome	160300
2L_chromosome	161659
2L_chromosome	161668
2L_chromosome	161782
2L_chromosome	161801
2L_chromosome	161836
2L_chromosome	161875
2L_chromosome	161989
2L_chromosome	162153
2L_chromosome	162723
2L_chromosome	166641
2L_chromosome	166748
2L_chromosome	168029
2L_chromosome	169184
2L_chromosome	169592
2L_chromosome	170385
2L_chromosome	176619
2L_chromosome	179166
2L_chromosome	179667
2L_chromosome	179879
2L_chromosome	180036
2L_chromosome	180261
2L_chromosome	180592
2L_chromosome	181896
2L_chromosome	181903
2L_chromosome	181957
2L_chromosome	184740
2L_chromosome	184959
2L_chromosome	185397
2L_chromosome	186264
2L_chromosome	186494
2L_chromosome	188510
2L_chromosome	188602
2L_chromosome	188764
2L_chromosome	188838
2L_chromosome	188925
2L_chromosome	191512
2L_chromosome	192360
2L_chromosome	192926
2L_chromosome	193643
2L_chromosome	194316
2L_chromosome	194332
2L_chromosome	195027
2L_chromosome	196284
2L_chromosome	196323
2L_chromosome	196594
2L_chromosome	197874
2L_chromosome	198058
2L_chromosome	198087
2L_chromosome	198173
2L_chromosome	198219
2L_chromosome	198664
2L_chromosome	198949
2L_chromosome	199741
2L_chromosome	201820
2L_chromosome	202196
2L_chromosome	203083
2L_chromosome	203338
2L_chromosome	205097
2L_chromosome	205123
2L_chromosome	205209
2L_chromosome	208049
2L_chromosome	208099
2L_chromosome	208352
2L_chromosome	209510
2L_chromosome	209518
2L_chromosome	210141
2L_chromosome	210184
2L_chromosome	212202
2L_chromosome	212338
2L_chromosome	212420
2L_chromosome	212559
2L_chromosome	213206
